ref_date,geo,labour_force_characteristics,uom,value
1976-01,Newfoundland and Labrador,Population,Persons in thousands,367.7
1976-01,Newfoundland and Labrador,Unemployment rate,Percent,14.3
1976-01,Prince Edward Island,Population,Persons in thousands,82.1
1976-01,Prince Edward Island,Unemployment rate,Percent,11.5
1976-01,Nova Scotia,Population,Persons in thousands,583.1
1976-01,Nova Scotia,Unemployment rate,Percent,9
1976-01,New Brunswick,Population,Persons in thousands,476.8
1976-01,New Brunswick,Unemployment rate,Percent,12.3
1976-01,Ontario,Population,Persons in thousands,6136.3
1976-01,Ontario,Unemployment rate,Percent,7.2
1976-01,Manitoba,Population,Persons in thousands,732.9
1976-01,Manitoba,Unemployment rate,Percent,6.7
1976-01,Saskatchewan,Population,Persons in thousands,648.1
1976-01,Saskatchewan,Unemployment rate,Percent,5
1976-01,Alberta,Population,Persons in thousands,1276.7
1976-01,Alberta,Unemployment rate,Percent,5.3
1976-01,British Columbia,Population,Persons in thousands,1852.4
1976-01,British Columbia,Unemployment rate,Percent,10.1
1976-02,Newfoundland and Labrador,Population,Persons in thousands,368.3
1976-02,Newfoundland and Labrador,Unemployment rate,Percent,14.6
1976-02,Prince Edward Island,Population,Persons in thousands,82.2
1976-02,Prince Edward Island,Unemployment rate,Percent,13.3
1976-02,Nova Scotia,Population,Persons in thousands,584.4
1976-02,Nova Scotia,Unemployment rate,Percent,9.4
1976-02,New Brunswick,Population,Persons in thousands,477.8
1976-02,New Brunswick,Unemployment rate,Percent,12.3
1976-02,Ontario,Population,Persons in thousands,6149.1
1976-02,Ontario,Unemployment rate,Percent,6.9
1976-02,Manitoba,Population,Persons in thousands,733.8
1976-02,Manitoba,Unemployment rate,Percent,5.8
1976-02,Saskatchewan,Population,Persons in thousands,649.8
1976-02,Saskatchewan,Unemployment rate,Percent,5.5
1976-02,Alberta,Population,Persons in thousands,1285
1976-02,Alberta,Unemployment rate,Percent,4.4
1976-02,British Columbia,Population,Persons in thousands,1856.8
1976-02,British Columbia,Unemployment rate,Percent,9.4
1976-03,Newfoundland and Labrador,Population,Persons in thousands,368.9
1976-03,Newfoundland and Labrador,Unemployment rate,Percent,14.8
1976-03,Prince Edward Island,Population,Persons in thousands,82.4
1976-03,Prince Edward Island,Unemployment rate,Percent,10.7
1976-03,Nova Scotia,Population,Persons in thousands,585.7
1976-03,Nova Scotia,Unemployment rate,Percent,9.4
1976-03,New Brunswick,Population,Persons in thousands,478.8
1976-03,New Brunswick,Unemployment rate,Percent,12.6
1976-03,Ontario,Population,Persons in thousands,6161.7
1976-03,Ontario,Unemployment rate,Percent,6.9
1976-03,Manitoba,Population,Persons in thousands,734.6
1976-03,Manitoba,Unemployment rate,Percent,5.4
1976-03,Saskatchewan,Population,Persons in thousands,651.4
1976-03,Saskatchewan,Unemployment rate,Percent,5
1976-03,Alberta,Population,Persons in thousands,1293.3
1976-03,Alberta,Unemployment rate,Percent,4.7
1976-03,British Columbia,Population,Persons in thousands,1861.1
1976-03,British Columbia,Unemployment rate,Percent,8.7
1976-04,Newfoundland and Labrador,Population,Persons in thousands,369.4
1976-04,Newfoundland and Labrador,Unemployment rate,Percent,16
1976-04,Prince Edward Island,Population,Persons in thousands,82.5
1976-04,Prince Edward Island,Unemployment rate,Percent,11.8
1976-04,Nova Scotia,Population,Persons in thousands,586.8
1976-04,Nova Scotia,Unemployment rate,Percent,9.8
1976-04,New Brunswick,Population,Persons in thousands,479.7
1976-04,New Brunswick,Unemployment rate,Percent,12.7
1976-04,Ontario,Population,Persons in thousands,6174.6
1976-04,Ontario,Unemployment rate,Percent,6.4
1976-04,Manitoba,Population,Persons in thousands,735.5
1976-04,Manitoba,Unemployment rate,Percent,4.7
1976-04,Saskatchewan,Population,Persons in thousands,653
1976-04,Saskatchewan,Unemployment rate,Percent,4.4
1976-04,Alberta,Population,Persons in thousands,1301.5
1976-04,Alberta,Unemployment rate,Percent,4.2
1976-04,British Columbia,Population,Persons in thousands,1865.4
1976-04,British Columbia,Unemployment rate,Percent,9.4
1976-05,Newfoundland and Labrador,Population,Persons in thousands,369.9
1976-05,Newfoundland and Labrador,Unemployment rate,Percent,13.8
1976-05,Prince Edward Island,Population,Persons in thousands,82.6
1976-05,Prince Edward Island,Unemployment rate,Percent,8.7
1976-05,Nova Scotia,Population,Persons in thousands,588.1
1976-05,Nova Scotia,Unemployment rate,Percent,9
1976-05,New Brunswick,Population,Persons in thousands,480.6
1976-05,New Brunswick,Unemployment rate,Percent,12
1976-05,Ontario,Population,Persons in thousands,6187.3
1976-05,Ontario,Unemployment rate,Percent,5.9
1976-05,Manitoba,Population,Persons in thousands,736.3
1976-05,Manitoba,Unemployment rate,Percent,4
1976-05,Saskatchewan,Population,Persons in thousands,654.6
1976-05,Saskatchewan,Unemployment rate,Percent,3.3
1976-05,Alberta,Population,Persons in thousands,1309.8
1976-05,Alberta,Unemployment rate,Percent,4.2
1976-05,British Columbia,Population,Persons in thousands,1869.8
1976-05,British Columbia,Unemployment rate,Percent,9
1976-06,Newfoundland and Labrador,Population,Persons in thousands,370.5
1976-06,Newfoundland and Labrador,Unemployment rate,Percent,11.6
1976-06,Prince Edward Island,Population,Persons in thousands,82.8
1976-06,Prince Edward Island,Unemployment rate,Percent,7.6
1976-06,Nova Scotia,Population,Persons in thousands,589.3
1976-06,Nova Scotia,Unemployment rate,Percent,8.5
1976-06,New Brunswick,Population,Persons in thousands,481.7
1976-06,New Brunswick,Unemployment rate,Percent,10.2
1976-06,Ontario,Population,Persons in thousands,6200
1976-06,Ontario,Unemployment rate,Percent,5.9
1976-06,Manitoba,Population,Persons in thousands,737.2
1976-06,Manitoba,Unemployment rate,Percent,3.7
1976-06,Saskatchewan,Population,Persons in thousands,656.2
1976-06,Saskatchewan,Unemployment rate,Percent,3.3
1976-06,Alberta,Population,Persons in thousands,1318
1976-06,Alberta,Unemployment rate,Percent,3
1976-06,British Columbia,Population,Persons in thousands,1874
1976-06,British Columbia,Unemployment rate,Percent,8.1
1976-07,Newfoundland and Labrador,Population,Persons in thousands,371.1
1976-07,Newfoundland and Labrador,Unemployment rate,Percent,13.1
1976-07,Prince Edward Island,Population,Persons in thousands,82.9
1976-07,Prince Edward Island,Unemployment rate,Percent,9.9
1976-07,Nova Scotia,Population,Persons in thousands,590.5
1976-07,Nova Scotia,Unemployment rate,Percent,9.4
1976-07,New Brunswick,Population,Persons in thousands,482.6
1976-07,New Brunswick,Unemployment rate,Percent,9.8
1976-07,Ontario,Population,Persons in thousands,6212.7
1976-07,Ontario,Unemployment rate,Percent,6.5
1976-07,Manitoba,Population,Persons in thousands,738
1976-07,Manitoba,Unemployment rate,Percent,4.4
1976-07,Saskatchewan,Population,Persons in thousands,657.9
1976-07,Saskatchewan,Unemployment rate,Percent,4.2
1976-07,Alberta,Population,Persons in thousands,1326.3
1976-07,Alberta,Unemployment rate,Percent,3.7
1976-07,British Columbia,Population,Persons in thousands,1878.4
1976-07,British Columbia,Unemployment rate,Percent,8.7
1976-08,Newfoundland and Labrador,Population,Persons in thousands,371.6
